what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211362538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211363348
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401211365047
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401211374367
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1401211377079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211388613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211391434
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211391496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211392385
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401211394427
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401211394863
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401211403700
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401211404916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211408968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211409888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211411197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211420518
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401211422279
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211435745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211436618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211439486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211443320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211449321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211450318
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211451019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211459514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211468133
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211469317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211470034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211476580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211478607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211480991
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1401211482519
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401211490920
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401211507145
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401211508267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401211528466
