what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1400088636048
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1400088636048
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1400088636048
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1400088636048
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1400088636048
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1400088636048
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1400088636048
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1400088636048
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1400088636048
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1400088636064
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1400088636064
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1400088636064
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1400088636064
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1400088636064
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1400088636064
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1400088636064
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1400088636064
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1400088636064
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1400088636064
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1400088636064
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1400088636064
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1400088636064
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1400088636064
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1400088636064
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1400088636079
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1400088636079
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1400088636079
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1400088636079
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1400088636079
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1400088636079
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1400088636079
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1400088636079
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1400088636079
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1400088636079
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1400088636079
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1400088636079
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1400088636079
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1400088636095
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1400088636095
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1400088636095
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1400088636095
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1400088636095
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1400088636095
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1400088636095
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1400088636095
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1400088636095
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1400088636095
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1400088636095
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1400088636095
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1400088636095
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1400088636095
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1400088636095
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1400088636111
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1400088636111
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1400088636111
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1400088636111
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1400088636111
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1400088636111
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1400088636111
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1400088636111
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1400088636111
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1400088636111
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1400088636111
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1400088636111
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1400088636126
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1400088636126
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1400088636126
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1400088636126
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1400088636126
os,sysinfo,,,"win32",1400088636126
arch,sysinfo,,,"x86",1400088636126
ws,sysinfo,,,"win32",1400088636126
locale,sysinfo,,,"en_US",1400088636126
processors,sysinfo,,,"2",1400088636126
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1400088636126
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1400088636126
java.specification.name,sysinfo,,,"Java Platform API Specification",1400088636126
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1400088636126
java.specification.version,sysinfo,,,"1.6",1400088636126
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1400088636126
java.version,sysinfo,,,"1.6.0_35",1400088636126
java.vm.info,sysinfo,,,"mixed mode, sharing",1400088636126
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1400088636126
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1400088636126
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1400088636126
java.vm.specification.version,sysinfo,,,"1.0",1400088636126
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1400088636126
java.vm.version,sysinfo,,,"20.10-b01",1400088636126
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088636407
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088636422
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1400088636438
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1400088642640
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1400088642655
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088643341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088658144
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1400088658206
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1400088658222
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1400088660107
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1400088660247
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1400088660575
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1400088662647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088664813
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1400088666184
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1400088666262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088667633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400088667633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088669815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088682764
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088682997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088688217
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1400088692440
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088692518
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1400088692690
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1400088692721
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088692736
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1400088693313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088698361
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088708396
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088708428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088714209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088716748
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088716780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088718385
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088721065
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088723386
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088724649
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088724758
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088726082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088727500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088738080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088739966
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1400088739982
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088744859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088746277
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088747882
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088747960
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088748006
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400088748006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088750484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088751668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400088751668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088754161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088755782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088760457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088763090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088771348
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1400088773000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088773577
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088773686
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088773764
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088774527
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088777877
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088779264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088779327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400088779342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088788255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088790390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088793709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088794628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400088794628
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088802965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088829377
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1400088829439
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088832555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088836747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088848402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088851831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088852921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400088852921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088859684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088861834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088863829
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088864717
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400088864717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088868130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088870311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088876217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088878055
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088878196
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400088878398
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1400088880782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088884164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400088885706
