what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402317775553
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402317775662
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1402317800062
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1402317800062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317807139
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317808326
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317809279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317839803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317845020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317986003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317986878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317986878
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402317986972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318403856
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318408104
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318672585
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402318676114
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402318676208
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402318676770
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1402318686016
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1402318686048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318696168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318698308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318712271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318713458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318714301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318718612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318720330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318778555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318781835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318804153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318805168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318950715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402318956072
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1402318962632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318966146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318967099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318967927
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318970129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318993306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318994447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318994681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402318996227
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1402318998429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319013923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319012682
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319013571
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319028475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319138714
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319139510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319140306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319158003
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319240385
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319242289
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319252807
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319361782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319382038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319383333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319384285
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319387266
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319422941
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319435581
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319437032
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319437111
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319438000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1402319451671
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1402319453013
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1402319453200
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1402319456602
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319458085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319459676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319464530
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319466371
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319467932
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319471724
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1402319483444
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319490279
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319493712
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319495023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319498987
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319500641
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402319504792
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319522957
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319532867
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319533850
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319534818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319557961
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319559319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319561363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319566185
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319613970
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319614625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319653718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402319653967
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319656137
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319666702
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319677797
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319728797
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319759025
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319842609
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319853720
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319862865
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319864707
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319864769
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319866127
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319869420
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319871089
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319871963
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402319996247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320086031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320092205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320097849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320104694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320107797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320107797
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320107860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320297259
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320304650
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320305882
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320335242
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320341869
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320342867
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320369686
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320384296
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320390938
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320397175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320406561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320408043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320409041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320410413
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320419300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320420096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320420875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320422325
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320426473
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320431805
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320438229
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320455412
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1402320473078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320488515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320489341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320490183
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320509736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320527168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320582255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320591704
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320593716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320606954
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320607063
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320612707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320613830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320614672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320619583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320621283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320641943
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320649287
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402320824357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321118241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321119613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321120408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321126817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321139088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321140195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321140912
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402321153105
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1402321364303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402321366860
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402321368450
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402321370696
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1402321399058
